Date,metal,fmcg,oil,cnxbank,real,pharma,cnxauto,capgoods,it,power,cement,steel,telecom,autoancs,media
04/01/2016,124.56,246.04,129.39,121.56,186.68,199.24,184.61,229.68,234.61,152.22,168.76,106.69,175.04,267.75,203.98
05/01/2016,125.06,247.2,129.51,121.44,185.96,200.41,182.45,228.85,233.09,153.04,168.25,108.32,174.91,264.66,202.97
06/01/2016,122.94,245.67,126.99,119.75,185.36,198.77,179.06,228.89,229.66,152.71,166.86,109.36,174.13,260.53,202.05
07/01/2016,118.38,241.53,123.41,116.63,178.36,196.26,173.85,221.09,223.24,150.95,161.7,103.47,170.65,252.19,199.14
08/01/2016,117.86,239.14,122.06,115.86,178.28,193.28,173.98,221.64,222.21,150.57,161.37,105.45,170.23,250.69,199.28
11/01/2016,114.43,237.05,119.35,114.87,173.92,190.39,174.25,219.4,222.47,150.01,158.25,102.7,169.61,249.15,197.6
12/01/2016,112.15,238.66,119.29,115.05,173.43,191.44,173.87,219.64,224.21,149.32,158.46,100.48,170.19,248.37,199.58
13/01/2016,111.41,236.15,118.78,113.89,172.86,189.38,173.98,218.28,220.05,149.65,157.65,100.68,167.63,247.31,195.61
14/01/2016,112.66,236.63,121.65,113.42,172.08,190.59,171.54,217.02,223.08,149.9,156.39,101.45,168.34,243.86,197.27
15/01/2016,108.88,232.68,117.86,110.27,168.86,187.19,168.82,212.08,217.34,147.48,152.9,98.06,164.67,239.28,191.73
18/01/2016,107.98,232.84,116.61,109.04,167.01,187.74,168.11,210.68,217.38,146.52,151.71,97.27,163.93,239.73,191.16
19/01/2016,108.5,234.42,116.6,109.98,170.27,188.9,169.84,216.6,217.98,148.54,153.9,99.35,165.58,242.2,192.72
20/01/2016,106.39,231.62,112.61,107.1,164.89,186.53,165.62,212.22,216.21,145.28,150.22,96.27,162.45,237.07,189.15
21/01/2016,108.33,231.66,114.67,106.88,161.32,186.65,164.22,209.54,216.04,144.94,149.87,95.07,163.26,234.73,191.27
22/01/2016,110.33,236,119.7,109.04,165,189.8,168.64,215.14,221.91,147.94,153.72,98.05,167.92,241.44,196.47
25/01/2016,110.26,236.04,117.15,107.78,165.77,190.12,167.69,215.64,219.93,147.51,153.26,99.18,167.35,240.46,193.83
