Date,bwming index,bwcncy index,bwoilp index,bwbank index,bwreal index,bwphrm index,bwautm index,bwengn index,bwtech index,bwutil index,bwbuil index,bwiron index,bwcomm index,bwautp index,bwmeda index
01/02/2006,199.76,128.18,176.78,158.31,186.55,111.13,146.11,203.99,124.31,157,178.4,195.29,118.82,153.16,109.1
01/03/2006,206.25,129.97,182.21,161.1,189.01,112.76,148.5,207.94,126.69,159.74,181.79,198.47,120.43,155.28,108.96
01/04/2006,210.88,131.34,183.17,163.17,190.96,114.44,149.26,211.37,128.29,161.41,185.96,202.38,123.51,157.47,115.56
01/05/2006,207.49,131.13,182.18,163,191.24,114.74,150.16,212.06,129.29,160.89,185.73,202.11,124.11,158.65,115.69
01/06/2006,210.41,131.94,184.89,164.06,191.79,115.53,151.99,214.35,130.98,161.97,187.82,203.87,125.75,160.89,117.37
01/09/2006,211.88,132.33,184.98,164.17,191.95,115.86,152.47,214.67,131.47,161.57,187.97,205.37,126.03,161.1,117.52
01/10/2006,207.68,131.77,186.87,162.71,190.73,114.7,150.71,213.44,131.09,161.45,187.08,204.12,125.27,159.58,116.77
01/12/2006,208.03,131.51,190.08,163.91,193.64,115.11,151.51,216.62,131.45,162.14,188.37,205.17,125.17,159.45,116.88
01/13/2006,208.87,131.85,191.61,164.35,194.07,115.59,150.74,217.98,131.36,162.97,189.59,203.58,125.11,158.48,116.6
01/16/2006,210.52,131.83,193.2,164.34,193.68,115.58,148.6,217.81,131.31,163.51,189.73,202.49,124.88,157.47,116.54
01/17/2006,210.48,130.96,193.77,162.87,189.59,114.35,146.92,212.86,129.71,163.33,188.8,201.39,122.77,154.7,116.06
01/18/2006,206.85,130.63,191.15,161.19,188.21,113.78,145.43,210.69,127.7,163.41,187.56,197.71,121.26,151.65,115.76
01/19/2006,213.02,130.98,192.98,162.33,191.45,114.12,147,215.02,129.08,165.19,188.8,202.64,122.78,153.46,116.64
01/20/2006,212.92,129.92,194.07,161.22,191.49,113.61,147.22,214.17,126.51,164.84,188.82,204.32,120.89,152.72,115.31
01/23/2006,214.03,130.24,195.52,162.63,190.7,114.09,147.65,214.91,126.28,165.91,189.41,204.41,121.02,152.2,115.85
01/24/2006,214.96,130.16,195.19,162.75,192.47,113.51,149.21,216.32,126.81,165.67,190.4,207.42,121.58,153.84,116.56
01/25/2006,219.69,130.21,194.48,163.71,194.49,113.93,148.54,218.33,127.35,165.04,191.36,209.79,121.79,153.22,115.98
01/27/2006,225.91,131.37,196.54,166.34,196.76,115.7,150.38,222.04,129.59,165.84,195.11,223.57,122.97,155.56,116.66
01/30/2006,226.77,130.86,198.39,165.92,196.85,114.93,151.36,222.25,129.92,165.82,195.55,226.53,122.73,156.4,116.8
01/31/2006,228.03,130.98,198.66,166.82,197.52,115.37,152.27,223.61,129.67,166.64,196.23,227.41,122.51,156.54,116.34
02/01/2006,229.11,131.41,197.54,166.86,197.35,115.73,151.36,223.57,129.99,166.39,196.33,227.72,122.58,156.12,117.15
02/02/2006,226.95,130.7,195.66,166.17,199.54,114.6,151.37,223,128.54,166.45,195.86,225.2,121.77,156.64,116.19
02/03/2006,224,130.26,193.38,165.13,198.24,114.37,149.77,221.92,127.35,165.41,195.12,225.94,121.05,156.61,115.97
02/06/2006,226.36,129.6,195.13,165.18,198.97,113.27,150.02,221.43,127.37,164.93,196.26,229.25,120.7,158.42,115.86
02/07/2006,220.57,129.4,191.3,165.45,199.37,113.24,150.88,221.38,127.15,165.05,196.21,227.62,121.01,158.44,116.07
