Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,13,9,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,24,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,13,9,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,18,0,0,5,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,12,20,0,21,0,0,16,0,17,0,0,0,0,0,0,0,0,20,0,0,0,11,0,11,0,5,0,0,0,24,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,13,9,0,10,0,0,0,17,8,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,21,18,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,12,0,21,0,0,18,19,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2006,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,8,14,0,7,15,0,4,20,0,0,5,3,10,7,0,4,0,0,8,16,15,0,0,0,0,0,0,17,0,0,6,0,17,0,0,0,0,7,0,13,0,19,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,19,12,20,0,21,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,4,0,0,25,0,5,14,0,14,0,6,0,0,0,6,0,7,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,11,0,0,0,16,0,0,6,5,0,0,0,0,0,0,0,0,0,15,0,0,21,0,0,0,13,0,0,0,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,0,0,2,0,0,1,0,0,0,3,22,18,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,12,0,21,0,0,18,20,0,4,0,0,2,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,6,0,6,0,4,0,0,21,16,5,0,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
06/01/2006,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,8,14,0,7,15,0,4,20,0,0,5,3,10,7,0,4,0,0,8,16,15,0,0,0,0,0,0,17,0,0,6,0,17,0,0,0,0,7,0,13,0,19,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,19,12,20,0,21,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,4,0,0,25,0,5,14,0,14,0,6,0,0,0,6,0,7,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,11,0,0,0,17,0,0,6,5,0,0,0,0,0,0,0,0,0,15,0,0,21,0,0,0,13,0,0,0,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,0,0,2,0,0,1,0,0,0,3,22,18,0,8,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,12,0,21,0,0,18,20,0,4,0,0,2,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,6,0,6,0,4,0,0,21,16,5,0,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
09/01/2006,0,0,4,1,10,0,0,21,0,0,0,0,0,0,0,7,0,20,0,5,0,0,0,0,7,14,11,7,15,0,4,20,0,2,5,3,10,7,0,4,0,0,8,16,15,0,0,0,0,0,0,17,2,0,6,0,17,0,0,0,0,7,0,13,0,18,0,0,8,0,0,16,0,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,19,9,0,0,0,0,0,0,0,1,6,6,20,12,20,0,21,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,3,0,0,25,0,5,14,0,14,0,6,0,0,0,6,0,7,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,12,16,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,11,0,0,0,17,0,0,6,5,0,0,0,0,0,0,0,16,0,16,0,0,21,0,0,2,13,0,0,1,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,12,2,2,0,0,1,0,0,10,3,22,18,0,8,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,12,10,21,0,15,18,21,0,4,0,0,2,0,0,0,0,0,0,13,0,0,15,14,0,0,0,0,6,0,6,0,4,0,0,21,16,5,13,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
10/01/2006,0,0,4,1,10,0,0,21,0,0,0,0,0,0,0,7,0,20,0,5,0,0,0,0,7,14,11,7,15,0,4,20,0,2,5,3,10,7,0,4,0,0,8,16,15,0,0,0,0,0,0,17,2,0,6,0,17,0,0,0,0,7,0,13,0,18,0,0,8,0,0,16,0,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,19,9,0,0,0,0,0,0,0,1,6,6,20,12,20,0,21,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,3,0,0,25,0,5,14,0,14,0,6,0,0,0,6,0,7,0,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,16,12,16,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,17,0,0,6,5,0,0,0,0,0,0,0,16,0,16,0,0,21,0,0,2,13,0,0,1,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,11,2,2,0,0,1,0,0,10,3,22,18,0,8,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,12,10,21,0,14,18,21,0,4,0,0,2,0,0,0,0,0,0,13,0,0,15,14,0,0,0,0,6,0,6,0,4,0,0,21,16,5,13,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
12/01/2006,0,0,4,1,10,0,0,21,0,0,0,0,0,0,0,7,0,20,0,5,0,0,0,0,7,14,11,7,15,0,4,20,0,2,5,3,10,7,0,4,0,0,8,17,15,0,0,0,0,0,0,17,2,0,6,0,17,0,0,0,0,7,0,13,0,18,0,0,8,0,0,16,0,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,1,2,0,0,0,0,16,0,0,0,0,14,7,0,0,0,0,0,19,9,0,0,0,0,0,0,0,1,6,6,20,12,20,0,21,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,5,0,0,27,0,5,14,0,14,0,6,0,0,0,6,0,7,0,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,16,12,16,0,0,0,20,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,17,0,0,6,5,0,0,0,0,5,0,0,16,0,16,0,0,21,0,0,2,13,0,0,1,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,11,2,2,0,0,1,0,0,10,3,22,18,0,8,5,1,0,0,2,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,13,10,21,0,14,18,22,0,4,0,0,2,0,0,0,2,0,0,13,0,0,15,14,0,0,0,0,6,0,6,0,4,0,0,21,16,5,13,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13/01/2006,0,0,4,1,10,0,0,21,0,0,0,0,0,0,0,7,0,20,0,5,0,0,0,0,7,14,11,7,15,0,4,20,0,2,5,3,10,7,0,4,0,0,8,17,14,0,0,0,0,0,0,17,2,0,6,0,17,0,0,0,0,7,0,13,0,18,0,0,8,0,0,15,0,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,1,2,0,0,8,0,16,0,0,0,0,14,7,0,0,0,0,0,19,9,0,0,0,0,0,0,0,1,6,6,20,12,20,0,21,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,5,0,0,26,0,5,14,0,14,0,6,0,0,0,6,0,8,0,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,16,12,16,0,0,0,20,0,0,1,0,0,0,0,0,0,16,0,0,11,0,0,0,17,0,0,6,5,0,0,0,0,5,0,0,16,0,16,0,0,21,0,0,2,13,0,0,1,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,11,2,2,0,0,1,0,0,10,3,22,18,0,8,5,1,0,0,2,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,13,10,21,0,14,18,23,0,4,0,0,2,0,0,0,2,0,0,13,0,0,15,14,0,0,0,0,6,0,6,0,4,0,0,21,16,5,13,9,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
16/01/2006,0,0,4,1,10,0,0,21,0,0,0,0,0,0,0,7,0,20,0,5,0,0,0,0,7,14,11,7,15,0,4,21,0,2,5,3,10,7,0,4,0,0,9,17,14,0,0,0,0,0,0,17,2,0,6,0,17,0,0,0,0,7,0,13,0,18,0,0,8,0,0,16,4,0,9,0,0,0,0,0,0,0,5,0,19,0,0,0,3,0,0,0,1,2,0,0,8,0,16,0,0,0,0,14,7,0,0,0,0,0,19,9,0,0,0,0,0,0,0,1,6,6,20,12,20,0,20,10,0,16,0,17,0,0,17,7,0,0,0,0,20,0,0,0,11,0,11,0,5,5,0,0,26,0,5,14,0,14,0,6,0,0,0,6,0,8,0,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,16,12,16,0,0,0,20,0,0,1,0,0,0,0,0,0,16,0,0,11,0,0,0,17,0,0,6,5,0,0,0,0,5,0,0,16,0,16,0,0,21,0,0,2,13,0,0,1,14,9,0,10,0,0,0,17,9,0,0,0,0,0,0,0,0,19,5,0,0,0,0,18,11,2,2,0,0,1,0,0,10,3,22,18,0,8,5,1,0,0,2,0,0,0,0,0,0,4,0,0,0,18,0,6,0,0,0,13,10,21,0,14,18,24,0,4,0,0,2,0,0,0,2,0,0,13,0,0,15,14,0,0,0,0,6,0,5,0,4,0,0,21,16,5,13,9,0,5,10,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6,6
