Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,241561,1674,,,1374,,,,,,,,,,,2222,,,,,,,,,,,,,,,,,,,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529,992,,,,,,,,572,,1545,,,,,,,,,,,,,,,,,3064,2889,,,,,,,,,,3522,,1273,,,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4746,,,,,,,,,,,4354,,,,,,,,4297,,,,,,,,,,,,,,,,,,,,,,,988,,,,,,,,,,,1764,,2188,9270,,,2271,3267,,,,2945,,941,,,,,,,,,,,,,,2554,,,,,1180,,,,,,,,3047,,,,,,,,,15056,,,,,,,,,,,,,,,,,5708,,3608,,,,,,,,,,1,,,3265,,,,,,4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,242460,1671,,,1617,,,,,,,,,,,2199,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,1094,,,,,,,,620,,1571,,,,,,,,,,,,,,,,,3298,2869,,,,,,,,,,3592,,1478,,,2874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812,,,,,,,,,,,4469,,,,,,,,4307,,,,,,,,,,,,,,,,,,,,,,,979,,,,,,,,,,,1882,,2211,9452,,,2200,3134,,,,3074,,1050,,,,,,,,,,,,,,3122,,,,,1254,,,,,,,,3048,,,,,,,,,14964,,,,,,,,,,,,,,,,,5638,,3699,,,,,,,,,,,,,3240,,,,,,4243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,243307,1857,,,1584,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,1123,,,,,,,,592,,1540,,,,,,,,,,,,,,,,,3350,2884,,,,,,,,,,3559,,1433,,,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4731,,,,,,,,,,,4475,,,,,,,,4367,,,,,,,,,,,,,,,,,,,,,,,976,,,,,,,,,,,2260,,2241,10948,,,2178,3004,,,,2935,,1054,,,,,,,,,,,,,,2764,,,,,1419,,,,,,,,3081,,,,,,,,,15185,,,,,,,,,,,,,,,,,5801,,3948,,,,,,,,,,,,,3162,,,,,,4413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,244633,1925,,,1577,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,1261,,,,,,,,583,,1529,,,,,,,,,,,,,,,,,3327,3092,,,,,,,,,,3448,,1489,,,3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4689,,,,,,,,,,,4427,,,,,,,,4374,,,,,,,,,,,,,,,,,,,,,,,970,,,,,,,,,,,2275,,2362,12258,,,2198,3100,,,,2848,,1278,,,,,,,,,,,,,,2636,,,,,1580,,,,,,,,3079,,,,,,,,,15087,,,,,,,,,,,,,,,,,6520,,3999,,,,,,,,,,,,,3095,,,,,,4512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,252647,1551,,,1479,,,,,,,,,,,2303,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,1269,,,,,,,,574,,1536,,,,,,,,,,,,,,,,,3516,3469,,,,,,,,,,3548,,1508,,,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4369,,,,,,,,,,,4450,,,,,,,,4381,,,,,,,,,,,,,,,,,,,,,,,929,,,,,,,,,,,2294,,2383,12131,,,2184,3158,,,,2849,,1434,,,,,,,,,,,,,,2690,,,,,1519,,,,,,,,3096,,,,,,,,,15824,,,,,,,,,,,,,,,,,6260,,4077,,,,,,,,,,,,,2786,,,,,,4778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,253767,1812,,,1514,,,,,,,,,,,2165,,,,,,,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662,1307,,,,,,,,623,,1565,,,,,,,,,,,,,,,,,3348,3621,,,,,,,,,,3414,,1500,,,3218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4311,,,,,,,,,,,4489,,,,,,,,4404,,,,,,,,,,,,,,,,,,,,,,,949,,,,,,,,,,,2383,,2610,12743,,,2187,3255,,,,2868,,1414,,,,,,,,,,,,,,2790,,,,,1587,,,,,,,,3084,,,,,,4282,,,15895,,,,,,,,,,,,,,,,,7164,,4127,,,,,,,,,,,,,2707,,,,,,4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,263165,2177,,,1436,,,,,,,,,,,2043,,,,,,,,,,,,,,,,,,,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1255,,,,,,,,722,,1555,,,,,,,,,,,,,,,,,3331,3493,,,,,,,,,,3361,,1476,,,3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4305,,,,,,,,,,,4872,,,,,,,,4403,,,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,,,,2367,,2560,12487,,,2173,3260,,,,3114,,1497,,,,,,,,,,,,,,2944,,,,,1457,,,,,,,,3066,,,,,,4880,,,14415,,,,,,,,,,,,,,,,,8033,,4072,,,,,,,,,,,,,2666,,,,,,4762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,281307,2163,,,1378,,,,,,,,,,,2061,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,1179,,,,,,,,711,,1546,,,,,,,,,,,,,,,,,3329,3338,,,,,,,,,,3548,,1508,,,3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4357,,,,,,,,,,,4888,,,,,,,,4481,,,,,,,,,,,,,,,,,,,,,,,960,,,,,,,,,,,2153,,2574,12646,,,2171,3330,,,,3313,,1510,,,,,,,,,,,,,,3099,,,,,1526,,,,,,,,3110,,,,,,5594,,,14740,,,,,,,,,,,,,,,,,7762,,4083,,,,,,,,,,,,,2777,,,,,,5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,303278,2109,,,1440,,,,,,,,,,,2081,,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,1161,,,,,,,,757,,1555,,,,,,,,,,,,,,,,,3313,3418,,,,,,,,,,3571,,1615,,,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302,,,,,,,,,,,5007,,,,,,,,4483,,,,,,,,,,,,,,,,,,,,,,,1269,,,,,,,,,,,1900,,2563,12548,,,2112,3394,,,,3452,,1531,,,,,,,,,,,,,,3208,,,,,1635,,,,,,,,3103,,,,,,5396,,,14748,,,,,,,,,,,,,,,,,7924,,4097,,,,,,,,,,,,,2690,,,,,,5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,270300,2043,,,1332,,,,,,,,,,,2064,,,,,,,,,,,,,,,,,,,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,1110,,,,,,,,766,,1555,,,,,,,,,,,,,,,,,3244,3508,,,,,,,,,,3475,,1576,,,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4397,,,,,,,,,,,5085,,,,,,,,4443,,,,,,,,,,,,,,,,,,,,,,,1374,,,,,,,,,,,1903,,2555,12063,,,2098,3124,,,,3553,,1544,,,,,,,,,,,,,,3393,,,,,1680,,,,,,,,3063,,,,,,5538,,,14206,,,,,,,,,,,,,,,,,8584,,4003,,,,,,,,,,,,,2697,,,,,,4739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
