Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,2836.7,4610,,,389.98,,,,,,,,,,,65.38,,,,,,,,,,,,,,,,,,,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,233.1,,,,,,,,73.34,,117.71,,,,,,,,,,,,,,,,,75.05,43.9,,,,,,,,,,158.32,,1138.85,,,127.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75,,,,,,,,,,,77.51,,,,,,,,59.33,,,,,,,,,,,,,,,,,,,,,,,275.93,,,,,,,,,,,153,,48.45,145.9,,,15.9,57.25,,,,205.65,,80.1,,,,,,,,,,,,,,250.6,,,,,501.5,,,,,,,,134.35,,,,,,,,,369.9,,,,,,,,,,,,,,,,,370.63,,110.87,,,,,,,,,,,,,54.8,,,,,,182.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,2872,4624.9,,,398.4,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,40.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,238,,,,,,,,74.78,,119.18,,,,,,,,,,,,,,,,,78.75,43.7,,,,,,,,,,160.94,,1211.7,,,130.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.71,,,,,,,,,,,80.2,,,,,,,,61.23,,,,,,,,,,,,,,,,,,,,,,,275.5,,,,,,,,,,,152.75,,48.6,144.4,,,16.2,58.98,,,,205.9,,77.9,,,,,,,,,,,,,,256.5,,,,,503.5,,,,,,,,135.25,,,,,,,,,369.9,,,,,,,,,,,,,,,,,372.23,,110.23,,,,,,,,,,,,,55.99,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,2896,4704,,,401,,,,,,,,,,,64.75,,,,,,,,,,,,,,,,,,,40.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,237.8,,,,,,,,77.2,,120.5,,,,,,,,,,,,,,,,,79,43.2,,,,,,,,,,161.94,,1238,,,128.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,,,,,,,,,,79.5,,,,,,,,64.45,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,159.9,,49.1,145.9,,,16.05,59.11,,,,212.9,,78.65,,,,,,,,,,,,,,260.9,,,,,501.85,,,,,,,,136.6,,,,,,,,,373.25,,,,,,,,,,,,,,,,,383.9,,112.4,,,,,,,,,,,,,57.8,,,,,,184.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,2899,4777.95,,,403.68,,,,,,,,,,,65.38,,,,,,,,,,,,,,,,,,,39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.35,241.7,,,,,,,,78.98,,120.36,,,,,,,,,,,,,,,,,81.75,43.8,,,,,,,,,,161,,1265,,,127.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.18,,,,,,,,,,,78.5,,,,,,,,63.86,,,,,,,,,,,,,,,,,,,,,,,274.5,,,,,,,,,,,161.65,,50.85,146.5,,,16.05,59.36,,,,214.3,,82.3,,,,,,,,,,,,,,258.45,,,,,499.4,,,,,,,,135.5,,,,,,,,,371,,,,,,,,,,,,,,,,,382.15,,111.8,,,,,,,,,,,,,59.48,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,2908.5,4790,,,407.18,,,,,,,,,,,66.6,,,,,,,,,,,,,,,,,,,39.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,245.05,,,,,,,,79.2,,122.43,,,,,,,,,,,,,,,,,86.95,46,,,,,,,,,,165.7,,1254,,,127.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,,,,,,,,,,,79.88,,,,,,,,63.74,,,,,,,,,,,,,,,,,,,,,,,280.9,,,,,,,,,,,160.4,,51.65,148.5,,,15.9,58.85,,,,212.8,,82.4,,,,,,,,,,,,,,258,,,,,496,,,,,,,,136.9,,,,,,,,,376.7,,,,,,,,,,,,,,,,,382.25,,113,,,,,,,,,,,,,62.1,,,,,,182.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,2910,4840,,,407.85,,,,,,,,,,,67.42,,,,,,,,,,,,,,,,,,,40.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,251,,,,,,,,78.1,,123.86,,,,,,,,,,,,,,,,,88.4,48.2,,,,,,,,,,169.96,,1248,,,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.08,,,,,,,,,,,79.8,,,,,,,,64.45,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,160.25,,51.9,153.75,,,15.95,59.25,,,,211.5,,81.3,,,,,,,,,,,,,,264.2,,,,,499.75,,,,,,,,136.9,,,,,,218.78,,,381.5,,,,,,,,,,,,,,,,,383.6,,113.8,,,,,,,,,,,,,63,,,,,,180.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,2885,4740,,,408.8,,,,,,,,,,,67.01,,,,,,,,,,,,,,,,,,,40.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,252.4,,,,,,,,77.2,,123.07,,,,,,,,,,,,,,,,,86.5,47.45,,,,,,,,,,167.38,,1238.9,,,130.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.35,,,,,,,,,,,81.2,,,,,,,,63.59,,,,,,,,,,,,,,,,,,,,,,,275.02,,,,,,,,,,,157.55,,51.6,154.9,,,15.95,59.14,,,,208.45,,81.25,,,,,,,,,,,,,,264.25,,,,,491,,,,,,,,135.45,,,,,,215.78,,,398.8,,,,,,,,,,,,,,,,,376.93,,112.23,,,,,,,,,,,,,62.25,,,,,,179.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,2851.95,4672,,,404,,,,,,,,,,,66.56,,,,,,,,,,,,,,,,,,,39.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,246.5,,,,,,,,76.22,,121.68,,,,,,,,,,,,,,,,,86.3,46.6,,,,,,,,,,166.04,,1225.8,,,128.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.85,,,,,,,,,,,80.63,,,,,,,,62.32,,,,,,,,,,,,,,,,,,,,,,,276.4,,,,,,,,,,,162.4,,50.35,153.25,,,15.5,59.73,,,,201.75,,81,,,,,,,,,,,,,,262,,,,,478.5,,,,,,,,135.8,,,,,,208.6,,,393.5,,,,,,,,,,,,,,,,,377.2,,109.5,,,,,,,,,,,,,66.15,,,,,,173.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,2856,4691,,,403.47,,,,,,,,,,,66.29,,,,,,,,,,,,,,,,,,,39.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,247.7,,,,,,,,75.4,,123.11,,,,,,,,,,,,,,,,,85.9,45.15,,,,,,,,,,166.34,,1238.65,,,129.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.58,,,,,,,,,,,84.59,,,,,,,,61.43,,,,,,,,,,,,,,,,,,,,,,,292.7,,,,,,,,,,,166.75,,50.2,152.95,,,15.8,59.56,,,,197.9,,79.7,,,,,,,,,,,,,,261.5,,,,,482.65,,,,,,,,136.85,,,,,,212,,,394,,,,,,,,,,,,,,,,,377.4,,109.27,,,,,,,,,,,,,66.5,,,,,,174.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,2844,4620,,,405,,,,,,,,,,,64.97,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,245.95,,,,,,,,73.2,,120.54,,,,,,,,,,,,,,,,,83.7,45.8,,,,,,,,,,169.52,,1234.85,,,126.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.16,,,,,,,,,,,86.27,,,,,,,,60.37,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,163.5,,49.1,149.9,,,15.55,59.5,,,,193.65,,77.8,,,,,,,,,,,,,,260.9,,,,,473.9,,,,,,,,133.2,,,,,,209.76,,,394.8,,,,,,,,,,,,,,,,,373.1,,107.27,,,,,,,,,,,,,65.69,,,,,,176.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
