Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,2822.1,4571,,,386.17,,,,,,,,,,,65.02,,,,,,,,,,,,,,,,,,,37.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.35,232.8,,,,,,,,72.6,,116.5,,,,,,,,,,,,,,,,,74.1,43.45,,,,,,,,,,156.51,,1117.05,,,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.77,,,,,,,,,,,76.9,,,,,,,,58.56,,,,,,,,,,,,,,,,,,,,,,,274.23,,,,,,,,,,,152.1,,48.05,143.15,,,15.8,56.91,,,,203.9,,78.15,,,,,,,,,,,,,,249.35,,,,,494.5,,,,,,,,133.2,,,,,,,,,366.95,,,,,,,,,,,,,,,,,367.27,,109.27,,,,,,,,,,,,,54.16,,,,,,180.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,2868.85,4616.35,,,397.47,,,,,,,,,,,64.39,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.55,236.5,,,,,,,,74.32,,118.68,,,,,,,,,,,,,,,,,78.2,42.9,,,,,,,,,,159.53,,1191.7,,,126.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.74,,,,,,,,,,,78.47,,,,,,,,60.63,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,151.85,,48.45,143.5,,,15.8,58.55,,,,204.5,,77.7,,,,,,,,,,,,,,250.85,,,,,498.3,,,,,,,,134.25,,,,,,,,,369.4,,,,,,,,,,,,,,,,,371.65,,109.33,,,,,,,,,,,,,55.17,,,,,,180.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,2890.1,4689.95,,,397.1,,,,,,,,,,,63.53,,,,,,,,,,,,,,,,,,,39.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.25,235.1,,,,,,,,76.26,,119.32,,,,,,,,,,,,,,,,,76.8,42.15,,,,,,,,,,160.03,,1216.1,,,124.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.44,,,,,,,,,,,78.33,,,,,,,,62.56,,,,,,,,,,,,,,,,,,,,,,,271.77,,,,,,,,,,,158.65,,48.7,144.75,,,15.65,58.55,,,,211.7,,77.9,,,,,,,,,,,,,,257.1,,,,,495.05,,,,,,,,134.75,,,,,,,,,369.25,,,,,,,,,,,,,,,,,381.32,,110.63,,,,,,,,,,,,,57.5,,,,,,182.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,2883.9,4756.3,,,402.27,,,,,,,,,,,64.43,,,,,,,,,,,,,,,,,,,39.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,240.1,,,,,,,,78.53,,119.5,,,,,,,,,,,,,,,,,80.65,43.1,,,,,,,,,,158.19,,1234.5,,,124.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.24,,,,,,,,,,,77.37,,,,,,,,62.88,,,,,,,,,,,,,,,,,,,,,,,272.05,,,,,,,,,,,158.3,,50.35,143.2,,,15.7,58.58,,,,208.95,,81.2,,,,,,,,,,,,,,256.1,,,,,491.55,,,,,,,,133.5,,,,,,,,,367.4,,,,,,,,,,,,,,,,,377.27,,111.07,,,,,,,,,,,,,58.95,,,,,,180.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,2895.65,4748.45,,,402.51,,,,,,,,,,,66.38,,,,,,,,,,,,,,,,,,,39.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,243.05,,,,,,,,77.13,,121.96,,,,,,,,,,,,,,,,,85.7,44.85,,,,,,,,,,165.1,,1230.65,,,124.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.62,,,,,,,,,,,78.57,,,,,,,,62.76,,,,,,,,,,,,,,,,,,,,,,,276.7,,,,,,,,,,,158.65,,50.35,147.55,,,15.5,58.15,,,,208.35,,79.45,,,,,,,,,,,,,,254.3,,,,,492.95,,,,,,,,135.05,,,,,,,,,372.3,,,,,,,,,,,,,,,,,381.15,,110.9,,,,,,,,,,,,,61.67,,,,,,178.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,2893.45,4703.2,,,405.67,,,,,,,,,,,67.06,,,,,,,,,,,,,,,,,,,40.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,248.55,,,,,,,,76.81,,122.61,,,,,,,,,,,,,,,,,86.1,47.55,,,,,,,,,,166.64,,1232.05,,,127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.35,,,,,,,,,,,78.6,,,,,,,,63.44,,,,,,,,,,,,,,,,,,,,,,,274.85,,,,,,,,,,,156.65,,51.45,152.6,,,15.75,58.95,,,,208,,80.4,,,,,,,,,,,,,,262.6,,,,,490.8,,,,,,,,135.4,,,,,,214.68,,,380.55,,,,,,,,,,,,,,,,,374.98,,111.67,,,,,,,,,,,,,61.96,,,,,,179.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,2857.3,4650.9,,,402.06,,,,,,,,,,,65.74,,,,,,,,,,,,,,,,,,,39.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65,247.6,,,,,,,,74.39,,120.32,,,,,,,,,,,,,,,,,83.55,45.5,,,,,,,,,,163.82,,1216.9,,,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42,,,,,,,,,,,79.73,,,,,,,,62.2,,,,,,,,,,,,,,,,,,,,,,,272.05,,,,,,,,,,,154.35,,50.1,151.95,,,15.4,58.43,,,,199.05,,79,,,,,,,,,,,,,,260.8,,,,,481.7,,,,,,,,132.6,,,,,,207.01,,,393.75,,,,,,,,,,,,,,,,,367.75,,109.23,,,,,,,,,,,,,59.48,,,,,,173.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,2831.4,4661.1,,,401.63,,,,,,,,,,,65.7,,,,,,,,,,,,,,,,,,,39.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65,245.25,,,,,,,,74.55,,119.82,,,,,,,,,,,,,,,,,84.95,43.95,,,,,,,,,,162.82,,1210.05,,,127.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.91,,,,,,,,,,,80.26,,,,,,,,60.6,,,,,,,,,,,,,,,,,,,,,,,273.15,,,,,,,,,,,161,,49.55,150.75,,,15.35,59.3,,,,194.9,,79.35,,,,,,,,,,,,,,256.4,,,,,473.05,,,,,,,,134.7,,,,,,204.49,,,386.1,,,,,,,,,,,,,,,,,374.6,,107.57,,,,,,,,,,,,,64.51,,,,,,167.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,2823.65,4630,,,399,,,,,,,,,,,65.02,,,,,,,,,,,,,,,,,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,244.3,,,,,,,,73.23,,120.36,,,,,,,,,,,,,,,,,83,43.85,,,,,,,,,,164.06,,1209.75,,,126.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.35,,,,,,,,,,,83.4,,,,,,,,60.22,,,,,,,,,,,,,,,,,,,,,,,290.32,,,,,,,,,,,163.25,,49.2,149.9,,,15.55,58.09,,,,191.65,,78,,,,,,,,,,,,,,256.95,,,,,470,,,,,,,,133,,,,,,208.91,,,385.85,,,,,,,,,,,,,,,,,370.98,,107.13,,,,,,,,,,,,,65.25,,,,,,172.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,2821.15,4574.2,,,402.58,,,,,,,,,,,63.89,,,,,,,,,,,,,,,,,,,38.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.95,243.2,,,,,,,,71.77,,118.71,,,,,,,,,,,,,,,,,81.55,44.5,,,,,,,,,,168.08,,1220,,,123.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.29,,,,,,,,,,,84.94,,,,,,,,58.83,,,,,,,,,,,,,,,,,,,,,,,282.77,,,,,,,,,,,161.3,,48.3,143.55,,,15.2,58.61,,,,187.9,,75.95,,,,,,,,,,,,,,257.8,,,,,461.35,,,,,,,,130.3,,,,,,205.27,,,390.65,,,,,,,,,,,,,,,,,365.55,,106.23,,,,,,,,,,,,,64.86,,,,,,173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2006,2801.85,4516.35,,,402.89,,,,,,,,,,,62.53,,,,,,,,,,,,,,,,,,,39.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,240.55,,,,,,,,70.07,,114.79,,,,,,,,,,,,,,,,,78.95,43,,,,,,,,,,163.52,,1214.6,,,119.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.78,,,,,,,,,,,83.16,,,,,,,,57.08,,,,,,,,,,,,,,,,,,,,,,,280.07,,,,,,,,,,,158.8,,47.2,138.65,,,15,57.69,,,,190.4,,74.75,,,,,,,,,,,,,,253.15,,,,,450.6,,,,,,,,128.2,,,,,,201.04,,,382.95,,,,,,,,,,,,,,,,,363.57,,103.23,,,,,,,,,,,,,66.71,,,,,,174.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/2006,2797,4453.15,,,413.56,,,,,,,,,,,63.39,,,,,,,,,,,,,,,,,,,38.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.75,239.7,,,,,,,,68.55,,114.11,,,,,,,,,,,,,,,,,80.8,42.2,,,,,,,,,,165.03,,1217.05,,,118.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.63,,,,,,,,,,,84.19,,,,,,,,56.43,,,,,,,,,,,,,,,,,,,,,,,281.13,,,,,,,,,,,158.55,,47.55,138.5,,,14.85,57.55,,,,189.15,,73.4,,,,,,,,,,,,,,257.15,,,,,446.95,,,,,,,,129.25,,,,,,203.86,,,384.6,,,,,,,,,,,,,,,,,363.18,,103.27,,,,,,,,,,,,,64.76,,,,,,175.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2006,2869.25,4525.05,,,422.01,,,,,,,,,,,64.61,,,,,,,,,,,,,,,,,,,39.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.85,243.55,,,,,,,,70.11,,117.79,,,,,,,,,,,,,,,,,84.05,42.9,,,,,,,,,,166.2,,1230.75,,,122.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.15,,,,,,,,,,,89.05,,,,,,,,57.56,,,,,,,,,,,,,,,,,,,,,,,284.85,,,,,,,,,,,163.1,,48.3,142.5,,,15.25,59.75,,,,203.7,,75.7,,,,,,,,,,,,,,258.95,,,,,467.65,,,,,,,,134.7,,,,,,206.75,,,390.1,,,,,,,,,,,,,,,,,375.32,,105.7,,,,,,,,,,,,,66.68,,,,,,179.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2006,2897.55,4547,,,450.78,,,,,,,,,,,66.2,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,252.8,,,,,,,,71.47,,119.43,,,,,,,,,,,,,,,,,87.75,43.35,,,,,,,,,,165,,1209.45,,,122.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.15,,,,,,,,,,,92.17,,,,,,,,57.67,,,,,,,,,,,,,,,,,,,,,,,283.13,,,,,,,,,,,164.4,,48.35,144.2,,,14.85,59.29,,,,202.25,,76.6,,,,,,,,,,,,,,259.1,,,,,471.55,,,,,,,,136.65,,,,,,209.04,,,385.65,,,,,,,,,,,,,,,,,374.5,,104.97,,,,,,,,,,,,,67.1,,,,,,183.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2006,2881.65,4522.05,,,461.07,,,,,,,,,,,66.88,,,,,,,,,,,,,,,,,,,43.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,249.5,,,,,,,,71,,117.82,,,,,,,,,,,,,,,,,89.05,42.8,,,,,,,,,,162.14,,1201.25,,,119.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.99,,,,,,,,,,,96.09,,,,,,,,56.34,,,,,,,,,,,,,,,,,,,,,,,284.15,,,,,,,,,,,162.05,,47.85,142.9,,,14.4,59.36,,,,205.25,,75.8,,,,,,,,,,,,,,257.2,,,,,469.75,,,,,,,,132.75,,,,,,205.78,,,379.5,,,,,,,,,,,,,,,,,365.38,,106.17,,,,,,,,,,,,,66.05,,,,,,183.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2006,2906.25,4512.15,,,497.22,,,,,,,,,,,70.18,,,,,,,,,,,,,,,,,,,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.45,246.95,,,,,,,,69.3,,118.79,,,,,,,,,,,,,,,,,86.6,41.75,,,,,,,,,,163.45,,1238.75,,,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.41,,,,,,,,,,,95.13,,,,,,,,55.93,,,,,,,,,,,,,,,,,,,,,,,283.07,,,,,,,,,,,164.75,,47.8,142.4,,,14.2,59.68,,,,206.7,,75.95,,,,,,,,,,,,,,254.85,,,,,474.4,,,,,,,,133.25,,,,,,215.19,,,387.45,,,,,,,,,,,,,,,,,367.45,,105.87,,,,,,,,,,,,,65.95,,,,,,187.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
