Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,2804,4560,,,385.1,,,,,,,,,,,62.76,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,231.5,,,,,,,,72.43,,113.96,,,,,,,,,,,,,,,,,73.6,41.95,,,,,,,,,,154.9,,1105.6,,,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48,,,,,,,,,,,74.6,,,,,,,,58.21,,,,,,,,,,,,,,,,,,,,,,,262.55,,,,,,,,,,,151,,47.5,142.75,,,14.85,56,,,,202.15,,77.9,,,,,,,,,,,,,,242.9,,,,,493,,,,,,,,132,,,,,,,,,364.5,,,,,,,,,,,,,,,,,365.52,,108.67,,,,,,,,,,,,,52.25,,,,,,178.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,2815.1,4578.1,,,384,,,,,,,,,,,63.98,,,,,,,,,,,,,,,,,,,38.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.25,233.1,,,,,,,,72.5,,116.43,,,,,,,,,,,,,,,,,73.9,42.65,,,,,,,,,,156.31,,1111.05,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,,,,,,,,,,,76.13,,,,,,,,58.56,,,,,,,,,,,,,,,,,,,,,,,273.02,,,,,,,,,,,150.9,,48,142.8,,,15.7,56.7,,,,202.75,,75.25,,,,,,,,,,,,,,248,,,,,493,,,,,,,,133,,,,,,,,,367.05,,,,,,,,,,,,,,,,,366.82,,108.4,,,,,,,,,,,,,54.03,,,,,,180.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,2872.25,4628,,,394.04,,,,,,,,,,,62.94,,,,,,,,,,,,,,,,,,,38.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,234.25,,,,,,,,74.2,,117.54,,,,,,,,,,,,,,,,,76.25,41.7,,,,,,,,,,158.32,,1189,,,123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.89,,,,,,,,,,,77.91,,,,,,,,60.81,,,,,,,,,,,,,,,,,,,,,,,271.5,,,,,,,,,,,151.1,,48.25,141.05,,,15.5,58.31,,,,205.1,,77.45,,,,,,,,,,,,,,252,,,,,493.65,,,,,,,,133.4,,,,,,,,,368.1,,,,,,,,,,,,,,,,,372.25,,109.67,,,,,,,,,,,,,55.57,,,,,,180.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,2868,4673.1,,,394.7,,,,,,,,,,,63.12,,,,,,,,,,,,,,,,,,,38.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,233.3,,,,,,,,76.23,,118.07,,,,,,,,,,,,,,,,,75.25,41.35,,,,,,,,,,155.97,,1198,,,121.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.36,,,,,,,,,,,76.51,,,,,,,,62.35,,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,157.85,,48.4,141.75,,,15.3,58.03,,,,206.9,,78.1,,,,,,,,,,,,,,253.25,,,,,488.5,,,,,,,,133,,,,,,,,,364.5,,,,,,,,,,,,,,,,,375.02,,109,,,,,,,,,,,,,57.07,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,2858.6,4683.05,,,398.42,,,,,,,,,,,63.93,,,,,,,,,,,,,,,,,,,38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,236.1,,,,,,,,76,,119.11,,,,,,,,,,,,,,,,,81.45,42,,,,,,,,,,158.12,,1200.05,,,122.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.53,,,,,,,,,,,76.6,,,,,,,,61.61,,,,,,,,,,,,,,,,,,,,,,,272.5,,,,,,,,,,,155.1,,49.6,140.1,,,15.25,57.03,,,,203.2,,77.1,,,,,,,,,,,,,,251.75,,,,,487,,,,,,,,132.6,,,,,,,,,367.2,,,,,,,,,,,,,,,,,375.07,,109.77,,,,,,,,,,,,,59.25,,,,,,177.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,2877.15,4692,,,404,,,,,,,,,,,66.29,,,,,,,,,,,,,,,,,,,39.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,242.7,,,,,,,,76.54,,122,,,,,,,,,,,,,,,,,85.25,45.85,,,,,,,,,,165.7,,1225,,,124.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.24,,,,,,,,,,,78.1,,,,,,,,63.03,,,,,,,,,,,,,,,,,,,,,,,274.32,,,,,,,,,,,156,,50.3,149,,,15.5,58.25,,,,206.65,,79.65,,,,,,,,,,,,,,253.3,,,,,489.2,,,,,,,,134.5,,,,,,212.87,,,374.15,,,,,,,,,,,,,,,,,373.63,,111.03,,,,,,,,,,,,,61.36,,,,,,178.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,2852.55,4632,,,401,,,,,,,,,,,65.61,,,,,,,,,,,,,,,,,,,39.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,246.1,,,,,,,,74.12,,119.71,,,,,,,,,,,,,,,,,83.3,45.2,,,,,,,,,,163.25,,1211,,,125.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,,,,,,,,,,,78.3,,,,,,,,61.94,,,,,,,,,,,,,,,,,,,,,,,271.27,,,,,,,,,,,153.6,,49.95,151.1,,,15.35,58,,,,198,,78.35,,,,,,,,,,,,,,256.5,,,,,477,,,,,,,,132.1,,,,,,206.2,,,380.5,,,,,,,,,,,,,,,,,366.85,,108.83,,,,,,,,,,,,,59.1,,,,,,173.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,2807,4586,,,398.01,,,,,,,,,,,64.39,,,,,,,,,,,,,,,,,,,38.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,242.6,,,,,,,,74,,118.57,,,,,,,,,,,,,,,,,82.3,43.65,,,,,,,,,,160.87,,1192.8,,,123.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49,,,,,,,,,,,78.33,,,,,,,,59.78,,,,,,,,,,,,,,,,,,,,,,,270.05,,,,,,,,,,,150,,49,149.1,,,14.6,58.05,,,,193.1,,77.1,,,,,,,,,,,,,,254.05,,,,,469,,,,,,,,128,,,,,,203,,,382.1,,,,,,,,,,,,,,,,,358.8,,106.73,,,,,,,,,,,,,56.26,,,,,,164.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,2820.05,4622,,,398.02,,,,,,,,,,,64.79,,,,,,,,,,,,,,,,,,,39.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,244.05,,,,,,,,73.23,,120,,,,,,,,,,,,,,,,,82.75,43.7,,,,,,,,,,163.35,,1205,,,125.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.31,,,,,,,,,,,80.5,,,,,,,,60.16,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,162.35,,49.05,149.25,,,15.4,57.68,,,,191.15,,78,,,,,,,,,,,,,,255.55,,,,,468.5,,,,,,,,132.6,,,,,,204.8,,,383,,,,,,,,,,,,,,,,,370.1,,106.83,,,,,,,,,,,,,64.5,,,,,,167.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,2802.2,4555,,,396.8,,,,,,,,,,,63.57,,,,,,,,,,,,,,,,,,,38.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75,242.55,,,,,,,,71.4,,118.39,,,,,,,,,,,,,,,,,81.1,42.5,,,,,,,,,,163.02,,1197,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,,,,,,,,,,,81.53,,,,,,,,58.59,,,,,,,,,,,,,,,,,,,,,,,280.5,,,,,,,,,,,159.3,,48.1,142.7,,,15.2,57.78,,,,187,,75.7,,,,,,,,,,,,,,256.05,,,,,459,,,,,,,,129.85,,,,,,204.71,,,385,,,,,,,,,,,,,,,,,364.23,,105.43,,,,,,,,,,,,,64.25,,,,,,169.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
