Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,2820,4583,,,389.2,,,,,,,,,,,63.16,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.55,233,,,,,,,,72.91,,114.79,,,,,,,,,,,,,,,,,73.6,41.95,,,,,,,,,,154.9,,1128.8,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.13,,,,,,,,,,,74.6,,,,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,262.55,,,,,,,,,,,151.4,,47.55,144.85,,,14.95,56,,,,203.8,,80.1,,,,,,,,,,,,,,242.9,,,,,499.9,,,,,,,,132.6,,,,,,,,,367.45,,,,,,,,,,,,,,,,,369,,109.07,,,,,,,,,,,,,52.5,,,,,,178.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,2825,4584,,,384,,,,,,,,,,,65.74,,,,,,,,,,,,,,,,,,,38.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,234.8,,,,,,,,72.6,,117.32,,,,,,,,,,,,,,,,,74.3,43.6,,,,,,,,,,156.98,,1124.95,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04,,,,,,,,,,,77.7,,,,,,,,58.89,,,,,,,,,,,,,,,,,,,,,,,275.5,,,,,,,,,,,152.5,,48.2,143.9,,,16,57.18,,,,204,,77,,,,,,,,,,,,,,251,,,,,498,,,,,,,,133.9,,,,,,,,,368,,,,,,,,,,,,,,,,,367.82,,108.4,,,,,,,,,,,,,54.25,,,,,,180.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,2890,4628,,,398.98,,,,,,,,,,,64.75,,,,,,,,,,,,,,,,,,,40.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.95,237.8,,,,,,,,74.36,,119.21,,,,,,,,,,,,,,,,,78.8,43.2,,,,,,,,,,160.74,,1198,,,126.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.43,,,,,,,,,,,79,,,,,,,,60.81,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,152.95,,48.85,144.2,,,16,59,,,,205.9,,78.4,,,,,,,,,,,,,,252,,,,,500,,,,,,,,135.4,,,,,,,,,371,,,,,,,,,,,,,,,,,372.82,,109.93,,,,,,,,,,,,,55.57,,,,,,181.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,2899,4691,,,395.24,,,,,,,,,,,64.02,,,,,,,,,,,,,,,,,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,235.5,,,,,,,,76.68,,119.93,,,,,,,,,,,,,,,,,76.95,42.1,,,,,,,,,,159.7,,1214,,,125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.86,,,,,,,,,,,78.3,,,,,,,,63.27,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,160,,48.9,145.8,,,15.7,58.98,,,,213.9,,78.5,,,,,,,,,,,,,,258,,,,,497,,,,,,,,135.05,,,,,,,,,371,,,,,,,,,,,,,,,,,381.15,,111.17,,,,,,,,,,,,,58.3,,,,,,182.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,2894.9,4764.4,,,404.4,,,,,,,,,,,64.79,,,,,,,,,,,,,,,,,,,39.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,241,,,,,,,,79.05,,119.29,,,,,,,,,,,,,,,,,81.75,43.45,,,,,,,,,,158.19,,1238,,,125.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54,,,,,,,,,,,76.6,,,,,,,,63.44,,,,,,,,,,,,,,,,,,,,,,,272.5,,,,,,,,,,,159.8,,50.5,144,,,15.8,57.53,,,,210,,81.8,,,,,,,,,,,,,,258,,,,,493,,,,,,,,133,,,,,,,,,369,,,,,,,,,,,,,,,,,378.5,,111.57,,,,,,,,,,,,,59.25,,,,,,181.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,2900,4799.9,,,404.8,,,,,,,,,,,66.74,,,,,,,,,,,,,,,,,,,39.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.35,244.7,,,,,,,,77.6,,122.86,,,,,,,,,,,,,,,,,86.4,46,,,,,,,,,,166.64,,1234.5,,,125.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02,,,,,,,,,,,78.7,,,,,,,,63.21,,,,,,,,,,,,,,,,,,,,,,,277.95,,,,,,,,,,,159.65,,50.5,149,,,15.5,58.5,,,,209.5,,79.9,,,,,,,,,,,,,,255.9,,,,,493,,,,,,,,135.75,,,,,,214.88,,,374.6,,,,,,,,,,,,,,,,,381,,111.33,,,,,,,,,,,,,62.22,,,,,,178.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,2883,4688,,,408.2,,,,,,,,,,,67.01,,,,,,,,,,,,,,,,,,,40.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,248.05,,,,,,,,76.47,,122.64,,,,,,,,,,,,,,,,,86.4,47.45,,,,,,,,,,166.91,,1238.9,,,127.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.34,,,,,,,,,,,78.51,,,,,,,,63.27,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,155,,51.45,153,,,15.95,59.14,,,,207.7,,80.8,,,,,,,,,,,,,,262.8,,,,,491,,,,,,,,135,,,,,,215.6,,,380.5,,,,,,,,,,,,,,,,,375,,111.87,,,,,,,,,,,,,62.15,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,2829,4586,,,398.01,,,,,,,,,,,65.07,,,,,,,,,,,,,,,,,,,38.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,244,,,,,,,,74.25,,118.93,,,,,,,,,,,,,,,,,83.6,45.25,,,,,,,,,,160.87,,1193,,,124.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91,,,,,,,,,,,79.3,,,,,,,,61.55,,,,,,,,,,,,,,,,,,,,,,,270.05,,,,,,,,,,,150.5,,49,150,,,14.6,58.53,,,,195,,77.1,,,,,,,,,,,,,,257,,,,,472.1,,,,,,,,130.5,,,,,,207.08,,,391,,,,,,,,,,,,,,,,,362.6,,107.47,,,,,,,,,,,,,56.63,,,,,,172.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,2825.05,4665,,,400.61,,,,,,,,,,,65.79,,,,,,,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.85,246,,,,,,,,75.38,,120.36,,,,,,,,,,,,,,,,,85.5,43.95,,,,,,,,,,164.09,,1209,,,127.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,80.6,,,,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,162.35,,49.5,150.95,,,15.45,59.45,,,,195.4,,79.6,,,,,,,,,,,,,,255.9,,,,,476.5,,,,,,,,134.9,,,,,,211.8,,,383,,,,,,,,,,,,,,,,,375.43,,108,,,,,,,,,,,,,64.6,,,,,,168.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,2815.1,4620,,,398,,,,,,,,,,,64.97,,,,,,,,,,,,,,,,,,,38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,245.75,,,,,,,,73.2,,120.36,,,,,,,,,,,,,,,,,82.5,43.85,,,,,,,,,,164.89,,1211,,,126.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.58,,,,,,,,,,,81.53,,,,,,,,59.92,,,,,,,,,,,,,,,,,,,,,,,293.52,,,,,,,,,,,163.1,,49,149.1,,,15.4,58.45,,,,192.25,,77.5,,,,,,,,,,,,,,258.4,,,,,473.9,,,,,,,,133.2,,,,,,208.4,,,387.1,,,,,,,,,,,,,,,,,370.05,,106.8,,,,,,,,,,,,,64.25,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
