Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,195542,983,,,312,,,,,,,,,,,1049,,,,,,,,,,,,,,,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692,58,,,,,,,,87,,517,,,,,,,,,,,,,,,,,473,2124,,,,,,,,,,1328,,326,,,14928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,3208,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,383,,,,,,,,,,,376,,307,2943,,,1017,1151,,,,777,,187,,,,,,,,,,,,,,1845,,,,,984,,,,,,,,889,,,,,,,,,2251,,,,,,,,,,,,,,,,,6326,,900,,,,,,,,,,1,,,2558,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,236015,996,,,1720,,,,,,,,,,,652,,,,,,,,,,,,,,,,,,,1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,323,,,,,,,,279,,596,,,,,,,,,,,,,,,,,1736,1090,,,,,,,,,,1587,,2303,,,12898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,,,,,,,,,,,5155,,,,,,,,1040,,,,,,,,,,,,,,,,,,,,,,,239,,,,,,,,,,,334,,250,2369,,,716,2747,,,,692,,281,,,,,,,,,,,,,,2465,,,,,733,,,,,,,,1226,,,,,,,,,1945,,,,,,,,,,,,,,,,,8198,,535,,,,,,,,,,,,,1732,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,215037,2649,,,850,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,130,,,,,,,,1043,,708,,,,,,,,,,,,,,,,,657,778,,,,,,,,,,1042,,1262,,,3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,,,,,,,,,,,1719,,,,,,,,1782,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,2172,,360,6037,,,147,863,,,,3217,,134,,,,,,,,,,,,,,2669,,,,,807,,,,,,,,1322,,,,,,,,,2358,,,,,,,,,,,,,,,,,15885,,1647,,,,,,,,,,,,,2432,,,,,,2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,246800,3028,,,1792,,,,,,,,,,,1041,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,587,,,,,,,,664,,495,,,,,,,,,,,,,,,,,3420,2037,,,,,,,,,,1029,,955,,,4742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,,,,,,,,,,,1726,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,1518,,1667,8257,,,331,1022,,,,1994,,1046,,,,,,,,,,,,,,1091,,,,,711,,,,,,,,934,,,,,,,,,2077,,,,,,,,,,,,,,,,,10345,,1087,,,,,,,,,,,,,2730,,,,,,2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,371055,2272,,,1290,,,,,,,,,,,1627,,,,,,,,,,,,,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,769,,,,,,,,362,,980,,,,,,,,,,,,,,,,,4866,3102,,,,,,,,,,3329,,597,,,2379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2287,,,,,,,,,,,1936,,,,,,,,722,,,,,,,,,,,,,,,,,,,,,,,595,,,,,,,,,,,652,,1305,11519,,,201,818,,,,1421,,967,,,,,,,,,,,,,,685,,,,,408,,,,,,,,1882,,,,,,,,,5097,,,,,,,,,,,,,,,,,11530,,1976,,,,,,,,,,,,,3259,,,,,,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,253311,1625,,,817,,,,,,,,,,,1119,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,947,,,,,,,,168,,586,,,,,,,,,,,,,,,,,1859,5025,,,,,,,,,,2328,,419,,,5094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,,,,,,,,,,,1510,,,,,,,,838,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,579,,1486,15841,,,223,728,,,,892,,389,,,,,,,,,,,,,,2409,,,,,1402,,,,,,,,1014,,,,,,9648,,,6878,,,,,,,,,,,,,,,,,9705,,2485,,,,,,,,,,,,,1275,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,275031,2448,,,394,,,,,,,,,,,471,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,540,,,,,,,,259,,383,,,,,,,,,,,,,,,,,667,1716,,,,,,,,,,894,,209,,,4383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447,,,,,,,,,,,5133,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,586,,659,11657,,,152,446,,,,1237,,555,,,,,,,,,,,,,,1628,,,,,480,,,,,,,,595,,,,,,4929,,,12985,,,,,,,,,,,,,,,,,9942,,1082,,,,,,,,,,,,,814,,,,,,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,308571,1181,,,328,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,262,,,,,,,,204,,239,,,,,,,,,,,,,,,,,1100,2538,,,,,,,,,,1103,,254,,,2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,,,,,,,,2510,,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,1549,,343,5334,,,116,824,,,,1068,,343,,,,,,,,,,,,,,1043,,,,,431,,,,,,,,1432,,,,,,2853,,,4845,,,,,,,,,,,,,,,,,22455,,672,,,,,,,,,,,,,4010,,,,,,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,242020,1277,,,250,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,99,,,,,,,,134,,471,,,,,,,,,,,,,,,,,598,739,,,,,,,,,,1188,,344,,,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215,,,,,,,,,,,7463,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,2238,,,,,,,,,,,1721,,308,4349,,,365,952,,,,853,,273,,,,,,,,,,,,,,1070,,,,,476,,,,,,,,1437,,,,,,4839,,,2293,,,,,,,,,,,,,,,,,8959,,704,,,,,,,,,,,,,2696,,,,,,3771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,250224,932,,,478,,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,100,,,,,,,,108,,152,,,,,,,,,,,,,,,,,371,2165,,,,,,,,,,2521,,269,,,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,,5521,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,1507,,,,,,,,,,,489,,220,4914,,,82,875,,,,1001,,351,,,,,,,,,,,,,,1220,,,,,279,,,,,,,,675,,,,,,1496,,,3361,,,,,,,,,,,,,,,,,9997,,489,,,,,,,,,,,,,996,,,,,,2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
