Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
2/1/2006,2859.5,4630,,,398.15,,,,,,,,,,,64.66,,,,,,,,,,,,,,,,,,,39.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,237.15,,,,,,,,74.26,,119,,,,,,,,,,,,,,,,,78.35,43.05,,,,,,,,,,160.2,,1192.1,,,127.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88,,,,,,,,,,,78.78,,,,,,,,61.14,,,,,,,,,,,,,,,,,,,,,,,276.1,,,,,,,,,,,152.05,,48.55,144.75,,,15.95,58.53,,,,205.85,,78.55,,,,,,,,,,,,,,252.5,,,,,499.85,,,,,,,,134.7,,,,,,,,,372.25,,,,,,,,,,,,,,,,,372.68,,109.53,,,,,,,,,,,,,55.38,,,,,,181.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2006,2859.5,4630,,,398.15,,,,,,,,,,,64.66,,,,,,,,,,,,,,,,,,,39.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,237.15,,,,,,,,74.26,,119,,,,,,,,,,,,,,,,,78.35,43.05,,,,,,,,,,160.2,,1192.1,,,127.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88,,,,,,,,,,,78.78,,,,,,,,61.14,,,,,,,,,,,,,,,,,,,,,,,276.1,,,,,,,,,,,152.05,,48.55,144.75,,,15.95,58.53,,,,205.85,,78.55,,,,,,,,,,,,,,252.5,,,,,499.85,,,,,,,,134.7,,,,,,,,,372.25,,,,,,,,,,,,,,,,,372.68,,109.53,,,,,,,,,,,,,55.38,,,,,,181.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2006,2882.4,4737.15,,,399.46,,,,,,,,,,,63.62,,,,,,,,,,,,,,,,,,,39.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.35,235.95,,,,,,,,76.84,,119.93,,,,,,,,,,,,,,,,,76.95,42.25,,,,,,,,,,160.87,,1222.95,,,125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,,,,,,,,,,,78.6,,,,,,,,63.21,,,,,,,,,,,,,,,,,,,,,,,274.1,,,,,,,,,,,158.85,,49.05,145.7,,,15.7,59.66,,,,213.15,,78.15,,,,,,,,,,,,,,258.85,,,,,495.95,,,,,,,,135.05,,,,,,,,,371.4,,,,,,,,,,,,,,,,,382.63,,110.93,,,,,,,,,,,,,57.9,,,,,,183.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2006,2873.8,4803.3,,,406.05,,,,,,,,,,,64.52,,,,,,,,,,,,,,,,,,,39.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,245.75,,,,,,,,79.01,,119.93,,,,,,,,,,,,,,,,,81.5,43.15,,,,,,,,,,158.82,,1243,,,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.89,,,,,,,,,,,77.69,,,,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,273.52,,,,,,,,,,,158.75,,50.4,144.9,,,15.85,58.55,,,,210.15,,81.6,,,,,,,,,,,,,,258.35,,,,,492.7,,,,,,,,134.15,,,,,,,,,369.9,,,,,,,,,,,,,,,,,377.98,,111.43,,,,,,,,,,,,,59.58,,,,,,181.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2006,2886.85,4797.75,,,406.67,,,,,,,,,,,66.83,,,,,,,,,,,,,,,,,,,39.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,243.4,,,,,,,,77.42,,122.29,,,,,,,,,,,,,,,,,86.5,45.5,,,,,,,,,,165.63,,1232.4,,,124.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.68,,,,,,,,,,,78.72,,,,,,,,62.88,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,158.8,,50.45,148.25,,,15.55,59.66,,,,210.6,,80,,,,,,,,,,,,,,255.05,,,,,496.5,,,,,,,,126.5,,,,,,,,,374.95,,,,,,,,,,,,,,,,,382,,111.2,,,,,,,,,,,,,62.15,,,,,,178.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2006,2885.2,4734.65,,,409.09,,,,,,,,,,,67.56,,,,,,,,,,,,,,,,,,,40.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75,249,,,,,,,,76.91,,122.96,,,,,,,,,,,,,,,,,86.65,47.75,,,,,,,,,,168.15,,1241.3,,,127.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.96,,,,,,,,,,,78.75,,,,,,,,63.95,,,,,,,,,,,,,,,,,,,,,,,276.98,,,,,,,,,,,156.95,,51.95,152.75,,,15.95,58.98,,,,209.1,,80.65,,,,,,,,,,,,,,262.95,,,,,491.5,,,,,,,,136.1,,,,,,215.12,,,383.15,,,,,,,,,,,,,,,,,375.77,,111.97,,,,,,,,,,,,,62.1,,,,,,179.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2006,2849.5,4642.3,,,406.72,,,,,,,,,,,66.29,,,,,,,,,,,,,,,,,,,39.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75,248.75,,,,,,,,74.46,,121.36,,,,,,,,,,,,,,,,,84,45.85,,,,,,,,,,164.53,,1226.05,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.96,,,,,,,,,,,80.05,,,,,,,,62.79,,,,,,,,,,,,,,,,,,,,,,,273.45,,,,,,,,,,,154.65,,50.3,152.2,,,15.55,58.13,,,,200.55,,78.9,,,,,,,,,,,,,,261.1,,,,,484.05,,,,,,,,133.25,,,,,,208.6,,,395.85,,,,,,,,,,,,,,,,,368.9,,110.17,,,,,,,,,,,,,59.93,,,,,,175.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2006,2822.95,4673.65,,,405.09,,,,,,,,,,,66.11,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,247.45,,,,,,,,74.5,,120.36,,,,,,,,,,,,,,,,,85.95,44.4,,,,,,,,,,163.45,,1211.3,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.33,,,,,,,,,,,80.4,,,,,,,,60.96,,,,,,,,,,,,,,,,,,,,,,,274.65,,,,,,,,,,,161.55,,50,150.8,,,15.45,59.38,,,,197.05,,80,,,,,,,,,,,,,,258.5,,,,,474.15,,,,,,,,135.4,,,,,,205.24,,,388.95,,,,,,,,,,,,,,,,,375.57,,108.23,,,,,,,,,,,,,64.78,,,,,,169.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,2812.4,4642.05,,,402.48,,,,,,,,,,,65.47,,,,,,,,,,,,,,,,,,,39.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.55,245.25,,,,,,,,74.21,,121.07,,,,,,,,,,,,,,,,,84.05,44.2,,,,,,,,,,164.93,,1212.15,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.92,,,,,,,,,,,84.13,,,,,,,,60.75,,,,,,,,,,,,,,,,,,,,,,,290.98,,,,,,,,,,,164.55,,49.6,150,,,15.55,58.09,,,,193.65,,79.1,,,,,,,,,,,,,,258.5,,,,,474,,,,,,,,134,,,,,,210.05,,,388.75,,,,,,,,,,,,,,,,,371.82,,107.73,,,,,,,,,,,,,65.41,,,,,,174.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,2809.65,4585,,,404.71,,,,,,,,,,,64.11,,,,,,,,,,,,,,,,,,,38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,245.4,,,,,,,,71.71,,119.68,,,,,,,,,,,,,,,,,82.25,44.85,,,,,,,,,,168.95,,1220.55,,,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,85.62,,,,,,,,59.27,,,,,,,,,,,,,,,,,,,,,,,285.65,,,,,,,,,,,162.7,,48.75,144,,,15.35,58.96,,,,189.5,,76.5,,,,,,,,,,,,,,259.95,,,,,461.2,,,,,,,,131.35,,,,,,206.51,,,393.2,,,,,,,,,,,,,,,,,367.23,,107,,,,,,,,,,,,,64.98,,,,,,175.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
