Date,NIFTY,BANKNIFTY,3IINFOTECH,ABAN,ABB,ABGSHIP,ABIRLANUVO,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AIAENG,AIL,AJANTPHARM,ALBK,ALOKTEXT,AMARAJABAT,AMBUJACEM,AMTEKAUTO,ANDHRABANK,ANSALAPI,APOLLOHOSP,APOLLOTYRE,APTECHT,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJHIND,BAJAJHLDNG,BAJFINANCE,BALAJITELE,BALLARPUR,BALRAMCHIN,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BEML,BGRENERGY,BHARATFORG,BHARTIARTL,BHEL,BHUSANSTL,BINDALAGRO,BIOCON,BIRLACORPN,BOMDYEING,BOSCHLTD,BPCL,BRFL,BRIGADE,BRITANNIA,CAIRN,CANBK,CASTROLIND,CEATLTD,CENTRALBK,CENTURYTEX,CESC,CHAMBLFERT,CHENNPETRO,CHOLAFIN,CIPLA,CMC,COALINDIA,COLPAL,CONCOR,COREEDUTEC,CORPBANK,CROMPGREAV,CUMMINSIND,DABUR,DCBBANK,DCHL,DEN,DENABANK,DHANBANK,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EDELWEISS,EDUCOMP,EICHERMOT,EKC,ENGINERSIN,ESCORTS,ESSAROIL,EXIDEIND,FEDERALBNK,FINANTECH,FORTIS,FRL,FSL,GAIL,GAYAPROJ,GDL,GESHIP,GITANJALI,GLAXO,GLENMARK,GMRINFRA,GNFC,GODREJIND,GODREJPROP,GPPL,GRASIM,GSKCONS,GSPL,GTL,GTLINFRA,GTOFFSHORE,GUJALKALI,GUJFLUORO,GVKPIL,HAVELLS,HCC,HCL-INSYS,HCLTECH,HDFC,HDFCBANK,HDIL,HEROMOTOCO,HEXAWARE,HGS,HINDALCO,HINDOILEXP,HINDPETRO,HINDUJAFO,HINDUJAVEN,HINDUNILVR,HINDZINC,HOTELEELA,HUBTOWN,IBREALEST,IBULHSGFIN,ICICIBANK,ICSA,IDBI,IDEA,IDFC,IFCI,IGL,IIFL,INDHOTEL,INDIACEM,INDIANB,INDUSINDBK,INFY,INGVYSYABK,IOB,IOC,IRB,ITC,IVRCLAH,IVRCLINFRA,J&KBANK,JETAIRWAYS,JINDALSAW,JINDALSTEL,JISLJALEQS,JPASSOCIAT,JPPOWER,JSL,JSWENERGY,JSWISPAT,JSWSTEEL,JUBLFOOD,JUSTDIAL,KESORAMIND,KFA,KOTAKBANK,KPIT,KSCL,KSK,KSOILS,KTKBANK,L&TFH,LAXMIMACH,LICHSGFIN,LITL,LT,LUPIN,M&M,M&MFIN,MAHLIFE,MAHSEAMLES,MARUTI,MCDOWELL-N,MCLEODRUSS,MERCATOR,MHRIL,MIC,MINDTREE,MONNETISPA,MOSERBAER,MOTHERSUMI,MPHASIS,MRF,MRPL,MTNL,MUTHOOTFIN,MYSOREBANK,NAGARFERT,NATIONALUM,NAUKRI,NBVENTURES,NCC,NDTV,NETWORK18,NEYVELILIG,NHPC,NIITLTD,NIITTECH,NMDC,NOIDATOLL,NTPC,NUCLEUS,OFSS,OIL,OMAXE,ONGC,OPTOCIRCUI,ORBITCORP,ORCHIDCHEM,ORIENTBANK,PAGEIND,PARSVNATH,PATELENG,PATNI,PEL,PENINLAND,PETRONET,PFC,PIDILITIND,PIIND,PNB,POLARIS,POWERGRID,PRAJIND,PRESTIGE,PRISMCEM,PTC,PUNJLLOYD,PURVA,RAJESHEXPO,RANBAXY,RAYMOND,RCOM,RECLTD,REDINGTON,RELCAPITAL,RELIANCE,RELINFRA,RELMEDIA,RENUKA,RIIL,RNRL,ROLTA,RPOWER,RUCHISOYA,SAIL,SASKEN,SATYAMCOMP,SBIN,SCI,SHREECEM,SIEMENS,SINTEX,SITICABLE,SKSMICRO,SKUMARSYNF,SOBHA,SOUTHBANK,SREINFRA,SRF,SRTRANSFIN,STAR,STER,STERLINBIO,STRTECH,SUNCLAYLTD,SUNPHARMA,SUNTV,SUZLON,SYNDIBANK,TALWALKARS,TATACHEM,TATACOMM,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,THOMASCOOK,TIMKEN,TITAN,TORNTPOWER,TRENT,TRIVENI,TTML,TULIP,TV18BRDCST,TVSMOTOR,UBL,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,UTTAMSTL,UTVSOF,VEDL,VIDEOIND,VIJAYABANK,VOLTAMP,VOLTAS,WALCHANNAG,WELCORP,WIPRO,WOCKPHARMA,YESBANK,ZEEL,CADILAHC,INFRATEL,MARICO,GODREJCP,GRANULES,PCJEWELLER,TATAELXSI,ICIL,TORNTPHARM,CGPOWER,CAPF,EQUITAS,INDIGO,INFIBEAM,MFSL,IDFCBANK,PVR,RDEL,UJJIVAN,DALMIABHA,BHARATFIN,SESAGOA,SSLT
02/01/2006,23.29,,,,,,,65.58038,,,,,,,42.20469,,,36.56388,,38.48731,,,,,51.378,36.98963,,,,,,,,,,,50.88031,61.62363,,,,,,98.47463,,,,,,,,53.17069,,,,,55.69513,,,,56.93613,97.89563,43.789,,,102.16181,,,,,,,,,88.68363,,,,,,,,,,,,,,,,,,,,,,,,97.77663,,,,,,,,,,,,,,,,,,,,,,,,,,35.06781,,,,,66.72413,,103.24813,,,32.1945,,,,,,35.3725,,48.70081,,36.10019,71.52419,,,,57.0505,,64.88938,31.42569,,,,,36.73963,,,,,,,,,37.28431,,,,,,,,,,,,,,46.0705,,,44.11719,,,,50.29131,,,,38.84688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.90313,,,,,54.65619,,,,45.35413,,,,,,,,,,,68.35681,,,,,,,,,,34.44888,,,,,58.97238,24.198,47.11469,,,,,,,,,,,30.42669,,,,,,,,,,,,,,,,,,,,,48.10188,,48.8255,61.12438,40.423,35.315,,55.67269,31.02019,34.2485,,,,,48.45763,,,,,,,,,,,49.803,,,,,,,307.57881,,,,,46.61888,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2006,24.62,29.02,,,,,,27.82038,,,,,,,31.47288,,,36.41413,,33.66163,,,,,47.3665,37.14113,,38.075,54.1645,,,,,,,,37.31663,49.49788,,,,,33.42113,36.73831,34.32319,,,,,,,30.13938,,,,,58.78338,,,,35.15631,43.07038,43.05238,,,30.04469,,,31.37763,,,,,,43.01338,,,,,,,,28.53338,,35.38563,,,,,,,,,42.10119,,,,,33.50988,,,,,,,,,,,,40.45319,,,,,,,,,,,,31.02369,43.37838,29.388,,33.93869,,,36.0785,,33.64188,,,32.67688,,,,,,31.16888,,39.62681,,34.68931,59.08238,,,,42.71319,,41.7445,32.42969,,33.46831,28.825,,33.06113,,,,,,31.21931,,,24.4895,,,,,,,,,,,,,,40.09569,,,29.66319,,,,39.43369,,,,34.37488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51531,,32.19,,,33.2555,,,,33.26769,,,,,,,,,,,35.68931,,,,,,,,,,37.93388,,,,,47.30638,22.84981,38.33738,,,,,,,,,,,30.4825,,,42.84913,,,,,,,,,,,,,,,27.09881,,,34.68988,,45.04181,53.1315,24.7475,35.60413,,33.84363,31.33681,34.28763,,,,,52.14819,,,,,,,,,,,44.00038,,,,,,,42.469,,,,,38.46588,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,21.19,29.63,,,,,,30.01781,,,,,,,27.67969,,,38.88619,,323.07412,,,,,47.9485,39.33538,,39.23238,53.63219,,,,,,,,40.35731,206.57319,,,,,32.70569,35.67538,34.038,,,,,,,39.40781,,,,,58.04188,,,,33.75363,42.00869,178.3485,,,29.38713,,,129.35737,,,,,,42.61113,,,,,,,,27.67131,,36.27563,,,,,,,,,40.71231,,,,,35.2895,,,,,,,,,,,,34.33319,,,,,,,,,,,,30.103,42.19369,30.9075,,32.92669,,,36.88831,,35.44538,,,30.84013,,,,,,31.88331,,36.555,,34.33181,66.72088,,,,45.53569,,52.34431,34.07069,,34.23288,28.13913,,33.64581,,,,,,30.259,,,28.078,,,,,,,,,,,,,,39.31369,,,37.25719,,,,38.347,,,,33.48569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.57488,,31.19569,,,36.63463,,,,39.45619,,,,,,,,,,,35.99663,,,,,,,,,,36.71869,,,,,42.73563,22.9425,37.09263,,,,,,,,,,,30.17238,,,41.47188,,,,,,,,,,,,,,,26.28263,,,51.05519,,42.58269,43.61863,23.97731,35.75881,,33.56269,30.3885,27.45719,,,,,42.969,,,,,,,,,,,43.24063,,,,,,,40.34969,,,,,36.949,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2006,495.9,,,,,,,35.71163,,,,,,,33.70519,,,42.45638,,56.17538,,,,,46.86588,34.60631,,37.94819,53.0925,,,,,,,,41.24063,57.86988,,,,,31.86019,34.82,33.685,,,,,,,31.32963,,,,,56.32713,,,,48.19231,40.80719,40.10981,,,28.53713,,,29.69688,,,,,,42.12431,,,,,,,,30.48069,,35.34719,,,,,,,,,41.80013,,,,,39.86588,,,,,,,,,,,,35.38269,,,,,,,,,,,,30.36181,40.95063,30.159,,32.4175,,,110.0085,,35.03338,,,34.69438,,,,,,31.49388,,40.58931,,35.91563,66.93369,,,,46.301,,44.853,35.2035,,44.30763,27.25763,,34.40519,,,,,,29.51063,,,31.70088,,,,,,,,,,,,,,39.13719,,,26.78538,,,,38.03881,,,,35.07588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4325,,30.24163,,,33.09113,,,,33.20963,,,,,,,,,,,36.72581,,,,,,,,,,35.59713,,,,,44.285,22.04563,35.97763,,,,,,,,,,,31.957,,,40.11169,,,,,,,,,,,,,,,25.76969,,,52.56931,,40.54619,58.67513,23.41163,37.53413,,32.54919,31.49981,26.70681,,,,,52.97038,,,,,,,,,,,44.41413,,,,,,,42.70869,,,,,32.99731,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2006,23.51,28.43,,,,,,38.00988,,,,,,,44.05113,,,44.46019,,51.97081,,,,,45.76781,37.95831,,36.98788,53.43619,,,,,,,,40.08188,65.48162,,,,,49.13963,34.661,32.82613,,,,,,,30.59119,,,,,55.4065,,,,34.95719,39.88069,40.789,,,33.02269,,,28.78363,,,,,,44.50119,,,,,,,,29.63131,,34.29,,,,,,,,,41.31431,,,,,42.6525,,,,,,,,,,,,34.368,,,,,,,,,,,,34.808,40.76831,34.19663,,31.87288,,,37.01163,,32.04831,,,34.52138,,,,,,32.52638,,41.87513,,33.41338,69.3225,,,,49.447,,42.50413,36.26519,,61.06938,26.46181,,38.18481,,,,,,28.64413,,,25.15713,,,,,,,,,,,,,,42.12631,,,25.9885,,,,36.99213,,,,33.16081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.98281,,29.5615,,,38.5525,,,,32.27081,,,,,,,,,,,37.14613,,,,,,,,,,33.898,,,,,41.268,21.48319,34.90181,,,,,,,,,,,28.978,,,39.78381,,,,,,,,,,,,,,,25.11188,,,53.58013,,39.6285,50.094,22.78388,36.04169,,31.45531,31.80113,22.83038,,,,,64.17088,,,,,,,,,,,42.82131,,,,,,,42.242,,,,,32.4715,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,16.11,28.05,,,,,,35.01581,,,,,,,34.1815,,,42.86163,,54.82513,,,,,49.94619,46.598,,67.56519,52.29569,,,,,,,,38.79769,63.35413,,,,,40.16019,38.2075,32.45219,,,,,,,29.60469,,,,,54.11838,,,,33.58731,38.84119,43.33788,,,27.33919,,,44.25088,,,,,,45.63081,,,,,,,,28.65163,,36.71588,,,,,,,,,40.0035,,,,,42.45669,,,,,,,,,,,,33.56869,,,,,,,,,,,,33.672,39.43931,33.17919,,30.8115,,,35.59063,,35.04169,,,32.34388,,,,,,32.26631,,44.88131,,47.71063,72.48963,,,,55.3125,,41.05738,37.80363,,60.02113,25.61881,,37.86088,,,,,,27.77688,,,26.49719,,,,,,,,,,,,,,47.62263,,,25.226,,,,35.34763,,,,35.39063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.90281,,28.5845,,,40.1205,,,,31.3505,,,,,,,,,,,34.99513,,,,,,,42.38381,,,34.66469,,,,,42.84319,23.04313,33.70488,,,,,,,,,,,30.66063,,,38.37231,,,,,,,,,,,,,,,24.26863,,,55.38019,,43.3125,50.387,22.37213,39.7,,33.53319,30.772,26.27688,,,,,61.86188,,,,,,,,,,,51.06169,,,,,,,43.63931,,,,,33.61931,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2006,17.37,27.86,,,,,,34.82619,,,,,,,40.13438,,,47.3285,,53.393,,,,,50.73963,38.92319,,86.41069,51.46581,,,,,,,,39.6335,61.58738,,,,,30.89019,35.03331,31.41763,,,,,,,29.33719,,,,,53.048,,,,39.44981,40.10169,46.49688,,,26.91269,,,31.96881,,,,,,44.34463,,,,,,,,28.20963,,37.47613,,,,,,,,,39.1625,,,,,47.5745,,,,,,,,,,,,32.54813,,,,,,,,,,,,32.61431,42.12769,33.51538,,32.94931,,,34.93313,,30.17113,,,34.03213,,,,,,31.42631,,39.29688,,51.79063,77.1295,,,,59.966,,40.24431,38.44988,,51.89081,26.71269,,34.51019,,,,,,27.12769,,,34.4025,,,,,,,,,,,,,,40.71988,,,29.40088,,,,34.81869,,,,29.17288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.16463,,27.69713,,,37.5765,,,,30.48013,,,,,,,,,,,35.316,,,,,,,38.42531,,,37.94588,,,,,42.50263,21.62131,37.22031,,,,,,,,,,,28.98931,,,37.55838,,,,,,,,,,,,,,,23.41981,,,50.01463,,38.01131,59.67113,21.78413,37.4655,,33.01338,30.71131,29.76969,,,,,60.17238,,,,,,,,,,,31.54731,,,,,,,47.77669,,,,,31.84319,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2006,18.51,26.87,,,,,,33.06388,,,,,,,41.88631,,,45.33763,,49.85963,,,,,49.05431,38.31719,,84.19669,49.76319,,,,,,,,43.85481,59.864,,,,,30.23919,35.531,31.52013,,,,,,,30.62363,,,,,51.362,,,,38.47581,39.84181,37.07969,,,26.07913,,,31.02388,,,,,,42.85619,,,,,,,,27.26013,,36.20569,,,,,,,,,38.99281,,,,,45.68013,,,,,,,,,,,,35.13381,,,,,,,,,,,,31.95981,41.78781,32.389,,31.83919,,,313.54469,,31.71419,,,30.51219,,,,,,24.6655,,41.53388,,35.9705,71.264,,,,57.07263,,39.03838,29.561,,62.59888,25.7355,,150.13769,,,,,,28.81763,,,28.0675,,,,,,,,,,,,,,38.6165,,,24.65869,,,,33.81638,,,,33.19788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.43419,,32.539,,,39.98788,,,,35.34288,,,,,,,,,,,39.72831,,,,,,,28.26969,,,37.72288,,,,,38.5125,20.17431,34.405,,,,,,,,,,,30.83963,,,36.51213,,,,,,,,,,,,,,,24.02513,,,53.32481,,36.76181,50.05869,21.08969,37.60869,,31.97619,32.41038,23.68888,,,,,58.021,,,,,,,,,,,40.51519,,,,,,,46.0985,,,,,35.11488,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2006,17.28,26.17,,,,,,31.97413,,,,,,,44.23163,,,40.20738,,80.58169,,,,,44.15369,35.75813,,82.03738,48.60838,,,,,,,,39.89088,57.77719,,,,,29.21963,33.6625,29.876,,,,,,,29.83263,,,,,49.86331,,,,32.48919,25.20063,40.43769,,,24.77169,,,34.32719,,,,,,41.48719,,,,,,,,26.54269,,35.13919,,,,,,,,,37.82588,,,,,40.61231,,,,,,,,,,,,33.9395,,,,,,,,,,,,31.19631,40.979,32.94713,,30.85381,,,33.51431,,27.61119,,,29.64231,,,,,,27.59981,,41.69319,,30.16863,74.71962,,,,46.37188,,37.94269,28.46719,,55.52281,24.90131,,50.13113,,,,,,28.00231,,,35.369,,,,,,,,,,,,,,37.08888,,,24.25863,,,,33.35513,,,,30.9305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.42713,,30.61631,,,43.84413,,,,32.237,,,,,,,,,,,32.54,,,,,,,36.17981,,,37.072,,,,,35.60631,17.62231,33.41681,,,,,,,,,,,29.459,,,35.46488,,,,,,,,,,,,,,,23.43313,,,54.05331,,35.76719,51.77288,20.42838,35.69488,,30.86513,31.21131,25.28263,,,,,56.33913,,,,,,,,,,,40.22831,,,,,,,52.71488,,,,,29.81481,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,21.76,25.46,,,,,,40.18913,,,,,,,35.12231,,,39.78288,,37.926,,,,,45.21388,29.956,,79.18188,46.95863,,,,,,,,38.17181,56.2495,,,,,28.18438,32.25613,28.78719,,,,,,,28.76331,,,,,48.67431,,,,33.8405,40.993,55.04719,,,24.276,,,31.76163,,,,,,39.70619,,,,,,,,26.19188,,33.73081,,,,,,,,,36.6145,,,,,47.0375,,,,,,,,,,,,33.21631,,,,,,,,,,,,30.5995,39.38219,32.34263,,29.59463,,,31.31619,,28.60319,,,27.54269,,,,,,30.17013,,40.81419,,31.406,72.52963,,,,48.36838,,44.7535,25.12863,,53.52863,24.06131,,47.84119,,,,,,28.032,,,42.589,,,,,,,,,,,,,,35.19981,,,23.49038,,,,36.128,,,,29.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0735,,29.60481,,,49.91719,,,,59.21331,,,,,,,,,,,34.6805,,,,,,,30.07669,,,37.71631,,,,,113.985,14.62431,33.15731,,,,,,,,,,,28.89319,,,33.91219,,,,,,,,,,,,,,,22.77581,,,56.49263,,33.91038,51.74013,84.99463,45.67069,,33.40919,30.96963,25.15281,,,,,55.33863,,,,,,,,,,,42.69519,,,,,,,45.60669,,,,,28.6215,,,,,,,,,,,,,,,,,,,,,,,,,,
