Date,metal,fmcg,oil,cnxbank,real,pharma,cnxauto,capgoods,it,power,cement,steel,telecom,autoancs,media
4/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29/01/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15/02/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16/02/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17/02/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18/02/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19/02/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
